"","age_group","lower.Q1","median","upper.Q3","gender"
"1","15-24",0.00961924311643413,0.0135247467603207,0.017823205523856,"Men"
"2","25-29",0.0321657024599031,0.0402010050251256,0.0497982106565024,"Men"
"3","30-34",0.0558920278637771,0.0665703275529865,0.0785670772979558,"Men"
"4","35-39",0.0698924731182796,0.0858585858585859,0.101919273642575,"Men"
"5","40-44",0.0816493263972256,0.0920245398773006,0.10227224161265,"Men"
"6","45-49",0.0716988012850136,0.0807847151814629,0.0907243148798187,"Men"
"7","15-24",0.0576923076923077,0.0670897287504404,0.0774699313993384,"Women"
"8","25-29",0.0952380952380952,0.10794141036785,0.122715404699739,"Women"
"9","30-34",0.10370259355083,0.117643364603367,0.136363636363636,"Women"
"10","35-39",0.0853811741635005,0.104003319407085,0.126945412311266,"Women"
"11","40-44",0.051437583940058,0.0626057529610829,0.0769910958904109,"Women"
"12","45-49",0.0407332178478248,0.0510383730957172,0.0632753427831252,"Women"
